Generacion,Distancia,Ruta
0,170.57028859234956,"[0, np.int64(5), np.int64(4), np.int64(2), np.int64(17), np.int64(15), np.int64(10), np.int64(18), np.int64(9), np.int64(19), np.int64(6), np.int64(3), np.int64(13), np.int64(16), np.int64(7), np.int64(12), np.int64(8), np.int64(14), np.int64(11), np.int64(1), 0]"
1,152.4278996407101,"[0, np.int64(13), np.int64(8), np.int64(15), np.int64(7), np.int64(19), np.int64(10), np.int64(11), np.int64(3), np.int64(6), np.int64(4), np.int64(18), np.int64(1), np.int64(14), np.int64(9), np.int64(5), np.int64(2), np.int64(12), np.int64(17), np.int64(16), 0]"
2,157.93286346130859,"[0, np.int64(14), np.int64(15), np.int64(17), np.int64(12), np.int64(7), np.int64(19), np.int64(10), np.int64(11), np.int64(3), np.int64(6), np.int64(4), np.int64(18), np.int64(9), np.int64(5), np.int64(2), np.int64(1), np.int64(16), np.int64(8), np.int64(13), 0]"
3,161.47249983491375,"[0, np.int64(8), np.int64(13), np.int64(14), np.int64(9), np.int64(1), np.int64(5), np.int64(4), np.int64(6), np.int64(10), np.int64(11), np.int64(17), np.int64(19), np.int64(18), np.int64(7), np.int64(12), np.int64(15), np.int64(3), np.int64(2), np.int64(16), 0]"
4,150.97600910024485,"[0, np.int64(8), np.int64(13), np.int64(14), np.int64(9), np.int64(18), np.int64(6), np.int64(1), np.int64(5), np.int64(4), np.int64(10), np.int64(11), np.int64(17), np.int64(19), np.int64(7), np.int64(12), np.int64(15), np.int64(3), np.int64(2), np.int64(16), 0]"
5,154.64427895373856,"[0, np.int64(1), np.int64(6), np.int64(14), np.int64(11), np.int64(12), np.int64(16), np.int64(4), np.int64(2), np.int64(13), np.int64(15), np.int64(19), np.int64(10), np.int64(17), np.int64(7), np.int64(9), np.int64(3), np.int64(18), np.int64(5), np.int64(8), 0]"
6,152.01450793963784,"[0, np.int64(1), np.int64(6), np.int64(14), np.int64(16), np.int64(4), np.int64(2), np.int64(13), np.int64(15), np.int64(17), np.int64(12), np.int64(8), np.int64(19), np.int64(10), np.int64(11), np.int64(7), np.int64(9), np.int64(3), np.int64(18), np.int64(5), 0]"
7,150.27749867549213,"[0, np.int64(6), np.int64(9), np.int64(14), np.int64(17), np.int64(12), np.int64(15), np.int64(16), np.int64(4), np.int64(2), np.int64(1), np.int64(5), np.int64(3), np.int64(18), np.int64(19), np.int64(10), np.int64(11), np.int64(13), np.int64(8), np.int64(7), 0]"
8,151.5277982652898,"[0, np.int64(6), np.int64(9), np.int64(7), np.int64(16), np.int64(2), np.int64(4), np.int64(5), np.int64(13), np.int64(15), np.int64(19), np.int64(10), np.int64(11), np.int64(18), np.int64(17), np.int64(12), np.int64(8), np.int64(3), np.int64(1), np.int64(14), 0]"
9,138.84003073542112,"[0, np.int64(14), np.int64(19), np.int64(10), np.int64(17), np.int64(12), np.int64(15), np.int64(16), np.int64(4), np.int64(2), np.int64(6), np.int64(9), np.int64(11), np.int64(18), np.int64(3), np.int64(13), np.int64(5), np.int64(8), np.int64(7), np.int64(1), 0]"
